Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Brenden Aaronson,MF,us United States,21,2000,1.2,0,1,0,0.0,0.83,0.00,0.00,,4.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,5bc43860
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad7cdb35
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,82464ce3
4,Saud Abdulhamid,DFMF,sa Saudi Arabia,22,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,caa254e4
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,0,2,0,0.0,2.05,0.00,0.00,,21.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,bfef5c87
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8bc373ea
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,2,6,3,50.0,3.80,1.90,0.33,0.67,17.8,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches,8637e09a
8,Abdulrahman Al-Aboud,MFDF,sa Saudi Arabia,27,1995,0.4,0,1,0,0.0,2.57,0.00,0.00,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,9bf54a3b
9,Zakaria Aboukhlal,FWMF,ma Morocco,22,2000,0.9,1,3,2,66.7,3.42,2.28,0.33,0.50,14.9,0,0,0,1.0,1.0,0.33,0.0,0.0,Matches,c2a6033c
10,Kellyn Acosta,MF,us United States,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ece10cfe
11,Marcos Acuña,DFFW,ar Argentina,30,1991,4.1,0,2,0,0.0,0.48,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,81442ecb
12,Tyler Adams,MF,us United States,23,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2b09d998
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f2309be
14,Michel Aebischer,MFFW,ch Switzerland,25,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f9c927de
15,Akram Afif,FW,qa Qatar,25,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,fd53d9e7
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,0,1,0,0.0,0.25,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,288e1e13
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,938fa024
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a62fa158
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,12.3,1,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,89ac64a6
20,Nathan Aké,DF,nl Netherlands,27,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eaeca114
21,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,74fbbb3c
22,Jordi Alba,DF,es Spain,33,1989,2.9,0,2,0,0.0,0.68,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,4601e194
23,Toby Alderweireld,DF,be Belgium,33,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7d50789
24,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd1acf9d
25,Almoez Ali,FW,qa Qatar,25,1996,2.5,0,3,1,33.3,1.21,0.40,0.00,0.00,16.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,bae045a9
26,Alisson,GK,br Brazil,29,1992,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
27,Joe Allen,MF,wls Wales,32,1990,1.0,0,2,0,0.0,1.91,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,9feb8f24
28,Thiago Almada,MF,ar Argentina,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,27f33438
29,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff871e14
30,Edson Álvarez,MF,mx Mexico,24,1997,1.9,0,1,1,100.0,0.51,0.51,0.00,0.00,33.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8b3ab7ad
31,Julián Álvarez,FW,ar Argentina,22,2000,5.2,4,11,8,72.7,2.13,1.55,0.36,0.50,12.2,0,0,0,2.6,2.6,0.24,+1.4,+1.4,Matches,15ab5a2b
32,Kevin Álvarez,DF,mx Mexico,23,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,636b0833
33,Dani Alves,DF,br Brazil,39,1983,1.3,0,3,0,0.0,2.29,0.00,0.00,,21.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,c9e99e49
34,Selim Amallah,MF,ma Morocco,25,1996,4.5,0,2,0,0.0,0.44,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,00eba9c9
35,Daniel Amartey,DF,gh Ghana,27,1994,2.8,0,1,0,0.0,0.36,0.00,0.00,,5.7,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches,1a4ef233
36,Ethan Ampadu,MFDF,wls Wales,21,2000,2.8,0,1,0,0.0,0.35,0.00,0.00,,32.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,10b9fa99
37,Sofyan Amrabat,MF,ma Morocco,25,1996,7.3,0,1,0,0.0,0.14,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,5a2cb25d
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,2.0,0,1,0,0.0,0.49,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,fd0affe3
39,Joachim Andersen,DF,dk Denmark,26,1996,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,18.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,e34fc66d
40,Karim Ansarifard,FWMF,ir IR Iran,32,1990,0.4,0,1,0,0.0,2.57,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,50cddd19
41,Antony,FW,br Brazil,22,2000,1.9,0,6,2,33.3,3.14,1.05,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,99127249
42,Uriel Antuna,FWMF,mx Mexico,24,1997,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,16.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,a35f5848
43,Néstor Araujo,DF,mx Mexico,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,27a013f7
44,Takuma Asano,FW,jp Japan,27,1994,1.8,1,8,2,25.0,4.36,1.09,0.13,0.50,13.2,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,13ddc856
45,Marco Asensio,FW,es Spain,26,1996,2.5,1,10,2,20.0,3.93,0.79,0.10,0.50,20.1,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,45af8a54
46,Ali Assadalla,MF,qa Qatar,29,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8e74d3ce
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a12402c3
48,Nathaniel Atkinson,DF,au Australia,23,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,51caa1f0
49,Yahya Attiat Allah,DF,ma Morocco,27,1995,3.5,0,2,0,0.0,0.57,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,432848a2
50,André Ayew,MFFW,gh Ghana,32,1989,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,17.3,0,0,1,1.1,0.4,0.36,-0.1,+0.6,Matches,5dbefa9d
51,Jordan Ayew,FW,gh Ghana,30,1991,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,21.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,da052c14
52,Sardar Azmoun,FW,ir IR Iran,27,1995,1.4,0,5,3,60.0,3.57,2.14,0.00,0.00,13.9,0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches,10549b49
53,César Azpilicueta,DF,es Spain,32,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53cad200
54,Srđan Babić,DF,rs Serbia,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,075fe5a3
55,Keanu Baccus,MF,au Australia,24,1998,1.3,0,1,0,0.0,0.79,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,19df2bf7
56,Alexander Bah,DF,dk Denmark,24,1997,0.5,0,2,0,0.0,3.91,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,78f21137
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4f50ff5
58,Alejandro Balde,DF,es Spain,18,2003,1.4,0,1,0,0.0,0.71,0.00,0.00,,11.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,5ccc9672
59,Gareth Bale,FW,wls Wales,32,1989,2.5,1,1,1,100.0,0.40,0.40,0.00,0.00,46.6,0,1,1,0.8,0.0,0.02,+0.2,0.0,Matches,a58bb1e1
60,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f449640d
61,Badr Banoun,DF,ma Morocco,28,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,06a24e51
62,Borna Barišić,DF,hr Croatia,29,1992,1.3,0,1,0,0.0,0.75,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,712dd708
63,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d3e92e0
64,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,395cd1d9
65,Michy Batshuayi,FW,be Belgium,28,1993,1.7,1,6,2,33.3,3.58,1.19,0.17,0.50,15.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,2973d8ff
66,Jan Bednarek,DF,pl Poland,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4115ce4e
67,Aziz Behich,DF,au Australia,31,1990,4.0,0,2,0,0.0,0.50,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,b6867b96
68,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6ca0b04a
69,Jude Bellingham,MF,eng England,18,2003,4.6,1,5,3,60.0,1.09,0.65,0.20,0.33,12.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches,57d88cf9
70,Anis Ben Slimane,MF,tn Tunisia,21,2001,1.6,0,1,1,100.0,0.61,0.61,0.00,0.00,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,9ade9ce1
71,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,0,1,0,0.0,0.87,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,58f5704e
72,Rodrigo Bentancur,MF,uy Uruguay,24,1997,2.4,0,3,1,33.3,1.27,0.42,0.00,0.00,15.8,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches,3b8674e6
73,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,61b3978f
74,Steven Berghuis,MF,nl Netherlands,30,1991,2.2,0,5,0,0.0,2.25,0.00,0.00,,22.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,713c144a
75,Steven Bergwijn,FW,nl Netherlands,24,1997,2.4,0,2,0,0.0,0.85,0.00,0.00,,15.5,0,0,0,0.5,0.5,0.25,-0.5,-0.5,Matches,a29b1131
76,Krystian Bielik,MF,pl Poland,24,1998,2.4,0,2,0,0.0,0.83,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,8e0ec853
77,Daley Blind,DF,nl Netherlands,32,1990,4.7,1,5,2,40.0,1.06,0.43,0.20,0.50,12.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,691bef82
78,Celso Borges,MF,cr Costa Rica,34,1988,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b8836910
79,Milan Borjan,GK,ca Canada,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5e8936be
80,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a38f33fd
81,Sofiane Boufal,FW,ma Morocco,28,1993,5.3,0,7,1,14.3,1.33,0.19,0.00,0.00,21.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,b0c71810
82,Yassine Bounou,GK,ma Morocco,31,1991,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f6798fc3
83,Martin Braithwaite,FWMF,dk Denmark,31,1991,1.1,0,1,0,0.0,0.87,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,fd771f95
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1992,0.7,0,2,1,50.0,2.77,1.38,0.00,0.00,20.4,0,0,0,0.4,0.0,0.01,-0.4,0.0,Matches,bd448676
85,Gleison Bremer,DF,br Brazil,25,1997,1.2,0,1,0,0.0,0.83,0.00,0.00,,5.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,5fd5ed86
86,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,edd81e2a
87,Marcelo Brozović,MF,hr Croatia,29,1992,6.1,0,4,2,50.0,0.65,0.33,0.00,0.00,17.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,33b8d077
88,Tajon Buchanan,MFDF,ca Canada,23,1999,2.9,0,5,0,0.0,1.73,0.00,0.00,,15.0,0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches,3aca6420
89,Ante Budimir,FW,hr Croatia,30,1991,0.6,0,1,0,0.0,1.64,0.00,0.00,,10.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,8f3565b3
90,Osman Bukari,MF,gh Ghana,23,1998,0.7,1,3,1,33.3,4.58,1.53,0.33,1.00,17.6,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches,eab85789
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d7b2936
92,Firas Al-Buraikan,MFFW,sa Saudi Arabia,22,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,ac717a23
93,Sergio Busquets,MF,es Spain,33,1988,4.0,0,2,0,0.0,0.50,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,5ab0ea87
94,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e94d79e3
95,Moisés Caicedo,MF,ec Ecuador,20,2001,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,16.0,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches,16264a81
96,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,706bd23f
97,Eduardo Camavinga,DF,fr France,19,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b9c2d84
98,Joel Campbell,FWMF,cr Costa Rica,29,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,895ff3ca
99,João Cancelo,DF,pt Portugal,28,1994,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bd6351cd
100,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f5a2f38
101,Yannick Carrasco,FWDF,be Belgium,28,1993,1.3,0,4,0,0.0,3.10,0.00,0.00,,13.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,de39485a
102,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,88ced02c
103,Dani Carvajal,DF,es Spain,30,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4958bfb2
104,William Carvalho,MF,pt Portugal,30,1992,2.4,0,1,0,0.0,0.42,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,dee86451
105,Casemiro,MF,br Brazil,30,1992,4.3,1,9,3,33.3,2.08,0.69,0.11,0.33,26.0,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,4d224fe8
106,Matty Cash,DF,pl Poland,24,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,2389cdc2
107,Timothy Castagne,DF,be Belgium,26,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,197640fd
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,1.1,0,0,0,0.9,0.9,0.95,+0.1,+0.1,Matches,e0f3a1f6
109,Lucas Cavallini,FW,ca Canada,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd8de641
110,Edinson Cavani,FW,uy Uruguay,35,1987,1.4,0,3,0,0.0,2.18,0.00,0.00,,13.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,527f063d
111,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fb3f920a
112,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,065a00d5
113,Ilias Chair,MF,ma Morocco,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad7873cb
114,Kwon Chang-hoon,FWMF,kr Korea Republic,27,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7961f7aa
115,Luis Chávez,MF,mx Mexico,26,1996,3.0,1,10,4,40.0,3.33,1.33,0.10,0.25,31.4,4,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,e50949ea
116,Walid Cheddira,FW,ma Morocco,24,1998,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,9.8,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches,0545a08e
117,Roozbeh Cheshmi,DFMF,ir IR Iran,28,1993,0.6,1,1,1,100.0,1.55,1.55,1.00,1.00,28.1,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,87c75fb3
118,Andreas Christensen,DF,dk Denmark,26,1996,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,5.9,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches,1cb49278
119,Hong Chul,DF,kr Korea Republic,31,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c7de2245
120,José Cifuentes,MF,ec Ecuador,23,1999,0.7,0,1,1,100.0,1.53,1.53,0.00,0.00,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8c8c07a7
121,Pathé Ciss,MF,sn Senegal,28,1994,1.6,0,1,0,0.0,0.62,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,9a0408b6
122,Sebastián Coates,DF,uy Uruguay,31,1990,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,1fbbfbde
123,Rubin Colwill,MF,wls Wales,20,2002,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f170b63e
124,Kingsley Coman,FWMF,fr France,26,1996,1.9,0,1,0,0.0,0.53,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,042e8a49
125,Eray Cömert,DF,ch Switzerland,24,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15937e17
126,Anthony Contreras,FWMF,cr Costa Rica,22,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d05ca2cc
127,Andreas Cornelius,FW,dk Denmark,29,1993,1.0,0,5,2,40.0,4.89,1.96,0.00,0.00,10.2,0,0,0,1.0,1.0,0.20,-1.0,-1.0,Matches,c693347d
128,Ángel Correa,MF,ar Argentina,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01eb744d
129,Diogo Costa,GK,pt Portugal,22,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,93fffbcf
130,Thibaut Courtois,GK,be Belgium,30,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1840e36d
131,Jason Cummings,FW,au Australia,26,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e28fbd0e
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8bf49030
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,29.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,d9565625
134,Mikkel Damsgaard,MFFW,dk Denmark,21,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,215f3907
135,Danilo,DF,br Brazil,30,1991,3.1,0,2,0,0.0,0.64,0.00,0.00,,27.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,94b2001f
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,1,1,1,100.0,0.48,0.48,1.00,1.00,4.1,0,0,0,0.6,0.6,0.63,+0.4,+0.4,Matches,5069b796
137,Jonathan David,FWMF,ca Canada,22,2000,2.1,0,8,1,12.5,3.75,0.47,0.00,0.00,14.1,0,0,0,1.0,0.7,0.09,-1.0,-0.7,Matches,ce50fd99
138,Alphonso Davies,MFDF,ca Canada,21,2000,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,21.0,1,0,1,1.1,0.3,0.09,-0.1,+0.7,Matches,d781d855
139,Ben Davies,DF,wls Wales,29,1993,2.6,0,3,2,66.7,1.13,0.76,0.00,0.00,12.1,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,44781702
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7709e4a6
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,2,6,4,66.7,2.00,1.33,0.33,0.50,21.6,0,0,1,1.8,1.0,0.16,+0.2,+1.0,Matches,60ee859c
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,2,3,3,100.0,2.50,2.50,0.67,0.67,9.6,0,0,0,1.2,1.2,0.40,+0.8,+0.8,Matches,be8d02dd
143,Kevin De Bruyne,FWMF,be Belgium,30,1991,3.0,0,7,2,28.6,2.33,0.67,0.00,0.00,23.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,e46012d4
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2ef7c612
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,32.4,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,8fda5c72
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,0,7,3,42.9,1.05,0.45,0.00,0.00,20.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,162efffd
147,Miloš Degenek,DF,au Australia,28,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c8e65157
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fe641c1a
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,0,8,2,25.0,1.66,0.42,0.00,0.00,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,b19db005
150,Leander Dendoncker,DFMF,be Belgium,27,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,5a7301ae
151,Sergiño Dest,DF,us United States,21,2000,3.4,0,6,0,0.0,1.77,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,5976f83e
